"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/StylizedForestPackV2/Materials/BasicWhite_MAT.BasicWhite_MAT","0","23","23","1","65.880188","0","23"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","37","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/shupi/pCylinder1Mat.pCylinder1Mat","0","14","1","1","35.810295","0","100"
"/Game/GameMAP/WorldGridMaterial.WorldGridMaterial","0","14","1","1","35.441170","0","118"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","98","2","1","343.782318","0","2688"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","0","37","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/Game/StylizedForestPackV2/Materials/GrassyGround_MAT.GrassyGround_MAT","0","14","1","1","30.767302","0","118"
"/Game/StylizedForestPackV2/Materials/DirtGround_MAT.DirtGround_MAT","0","14","1","1","32.040737","0","109"
"/Game/StylizedForestPackV2/Materials/StylizedBackround_MAT.StylizedBackround_MAT","0","29","1","1","62.232792","0","470"
"/Game/StylizedForestPackV2/Materials/Stylized-SmallBranch_Texture_Mat.Stylized-SmallBranch_Texture_Mat","0","84","1","1","208.148331","0","3648"
"/Game/StylizedForestPackV2/Materials/PineTreeTallDistance-3.PineTreeTallDistance-3","0","29","1","1","63.462940","0","470"
"/Game/StylizedForestPackV2/Materials/PineTreeTallDistance-2.PineTreeTallDistance-2","0","29","1","1","64.876602","0","470"
"/Game/StylizedForestPackV2/Materials/PineTreeTallDistance-1.PineTreeTallDistance-1","0","29","1","1","70.695114","0","470"
"/Game/StylizedForestPackV2/Materials/StylizedWater_MasterMAT.StylizedWater_MasterMAT","0","28","1","1","521.802124","58","1104"
"/Game/StylizedForestPackV2/Materials/Rock_MAT.Rock_MAT","0","46","1","1","131.350998","0","898"
"/Game/StylizedForestPackV2/Materials/MushroomTop_MAT.MushroomTop_MAT","0","46","1","1","123.598740","0","637"
"/Game/StylizedForestPackV2/Materials/MushroomStem_MAT.MushroomStem_MAT","0","46","1","1","131.019455","0","495"
"/Game/StylizedForestPackV2/Materials/Landscape_MasterMAT.Landscape_MasterMAT","0","74","8","3","178.265930","0","636"
"/Game/StylizedForestPackV2/Materials/InsideLog_MAT.InsideLog_MAT","0","24","1","1","70.541161","0","139"
"/Game/StylizedForestPackV2/Materials/BrownMushroom_MAT.BrownMushroom_MAT","0","46","1","1","128.634628","0","427"
"/Game/StylizedForestPackV2/Materials/BlueMushroomStem_MAT.BlueMushroomStem_MAT","0","46","1","1","125.225746","0","604"
"/Game/StylizedForestPackV2/Materials/Bark_MasterMAT.Bark_MasterMAT","0","48","1","1","145.349380","0","563"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","84","1288","1","181.514023","0","1839"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","0","23","1","0.000000","0","0"
